Episode_ID,Start_Time,End_Time,Total_Steps,Cumulative_Reward,Average_Reward,Max_Reward,Min_Reward,Solved,Checkpoint_Saved,Goal_Scored,Notes
0,1742503989.709803,1742504017.8958004,5000,-49753.08641976656,-9.950617283953312,-9.950617283952813,-9.950617283952813,0,No,0,
1,1742504017.8966875,1742504045.9521542,5000,-49753.08641976656,-9.950617283953312,-9.950617283952813,-9.950617283952813,0,No,0,
2,1742504045.9529574,1742504056.3354762,1473,-9687.636057365526,-6.576806556256297,0.07234276212468718,-999.9334559438652,0,No,0,
3,1742504056.3364136,1742504062.920226,1032,-1988.9437324085843,-1.92727105853545,0.3162957802143852,-999.7332732429925,0,No,0,
4,1742504062.9211187,1742504071.9505966,1587,-6917.514667932106,-4.358862424657912,0.13778726882759684,-999.8918387843877,0,No,0,
5,1742504071.9514716,1742504099.454852,5000,-49753.08641976656,-9.950617283953312,-9.950617283952813,-9.950617283952813,0,No,0,
6,1742504099.4557486,1742504128.8507464,5000,-49753.08641976656,-9.950617283953312,-9.950617283952813,-9.950617283952813,0,No,0,
7,1742504128.851543,1742504138.7950225,1516,-4742.9296925141625,-3.128581591368181,0.17225236186252582,-999.8771730829008,0,No,0,
8,1742504138.7958732,1742504166.7922714,5000,-49753.08641976656,-9.950617283953312,-9.950617283952813,-9.950617283952813,0,No,0,
9,1742504166.793064,1742504180.4133937,2237,-11107.480524548517,-4.965346680620705,0.2572424867429604,-999.7924045279653,0,No,0,
10,1742504180.4144,1742504208.4186394,5000,-41873.31947981968,-8.374663895963936,0.7186349817597032,-9.950617283952813,0,No,0,
11,1742504208.4195995,1742504226.3222091,3025,-21073.461450473667,-6.966433537346667,0.08968675301833276,-999.9181035159581,0,No,0,
12,1742504226.3234499,1742504254.388888,5000,-49753.08641976656,-9.950617283953312,-9.950617283952813,-9.950617283952813,0,No,0,
13,1742504254.3897324,1742504268.9073484,2431,-1297.006578747681,-0.5335280044210946,1.4104304280737567,-999.9019378989092,0,No,0,
14,1742504268.908433,1742504296.3016448,5000,-49753.08641976656,-9.950617283953312,-9.950617283952813,-9.950617283952813,0,No,0,
15,1742504296.3026123,1742504325.789883,5000,-49753.08641976656,-9.950617283953312,-9.950617283952813,-9.950617283952813,0,No,0,
16,1742504325.7907946,1742504338.5372775,1904,-9794.716612397538,-5.144283935082741,0.14824028545716098,-999.8898559703509,0,No,0,
17,1742504338.5382738,1742504346.669266,1388,-5352.1051609143315,-3.8559835453273283,0.07901466842581775,-999.9271959800861,0,No,0,
18,1742504346.6701312,1742504356.9945185,1821,-8192.743054564578,-4.499035175488511,0.04932557133584512,-999.9841435125726,0,No,0,
19,1742504356.9954395,1742504384.7076895,5000,-49753.08641976656,-9.950617283953312,-9.950617283952813,-9.950617283952813,0,No,0,
20,1742504384.708679,1742504412.3538532,5000,-49753.08641976656,-9.950617283953312,-9.950617283952813,-9.950617283952813,0,No,0,
21,1742504412.3546858,1742504440.648511,4832,-40768.739794523084,-8.4372391958864,0.5567606650689688,-999.4929658404193,0,No,0,
22,1742504440.6497884,1742504463.9143555,4021,-32157.42926678528,-7.997371118325113,0.6098786396262026,-999.4400067920238,0,No,0,
23,1742504463.9155352,1742504470.2874537,1065,-1712.5905262534388,-1.6080662218342148,0.27801635401356706,-999.7712537191394,0,No,0,
24,1742504470.28836,1742504488.2350435,3128,-1577.8032988026475,-0.5044128193103093,1.094415574324268,-999.9867682669027,0,No,0,
25,1742504488.2360342,1742504493.2971678,771,8602.004534740321,11.15694492184218,9007.323498881851,-9.950617283952813,0,No,1,
